index,mse,js_per_seq,js_conc,poiss,pr_corr,sp_corr,targets,pred type,eval type,bin_size,data_dir,l_rate,loss_fn,model_fn,num_epochs,window_size,run_dir
13,57820.453,0.509898,0.6116898414143712,,0.5058709617086942,0.3009643433593733,PC-3,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
14,6.7835326,0.29343078,0.3638305203303868,,-0.5822584712204157,-0.3465806541471886,MCF,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,181618.14,0.41358957,0.4469988831286377,,0.7719058960479148,0.5723205276863854,MCF,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,39.20349,0.5242821,0.5305329420214748,,-0.7719058960281466,-0.5723205276863854,MCF,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,487334.34,0.3491984,0.3855212001116799,,0.8288259144434693,0.6836335766653575,Panc1,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,31.872368,0.5848559,0.5890092314658953,,-0.8288259144603984,-0.6836337013866115,Panc1,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,173640.6,0.3647657,0.3951772933551692,,0.7968442994848604,0.6614016418319808,GM12878,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,77.70124,0.44149372,0.4613409539618411,,0.7968442993761606,0.6614016418319808,GM12878,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,224562.69,0.37464496,0.4098839718929418,,0.8029424732578863,0.6089790865014487,GM21381,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,924.6019,0.4547595,0.48060857087468656,,0.8029424733295633,0.6089790865014487,GM21381,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
